Timestamp;
23:34:13;
23:34:18;
23:34:23;
23:34:28;
23:34:33;
23:34:38;
23:34:43;
23:34:48;
23:34:53;
23:34:58;
23:35:03;
23:35:08;
23:35:13;
23:35:18;
23:35:23;
23:35:27;2017.04.26 11:11:52
23:35:32;2017.04.26 11:11:52
23:35:37;2017.04.26 11:11:52
23:35:42;2017.04.26 11:11:52
23:35:47;2017.04.26 11:11:52
23:35:52;2017.04.26 11:11:52
23:35:57;2017.04.26 11:11:52
23:36:02;2017.04.26 11:11:52
23:36:32;2017.04.26 11:11:52
23:36:37;2017.04.26 11:11:52
23:36:42;2017.04.26 11:11:52
23:36:47;2017.04.26 11:11:52
23:36:52;2017.04.26 11:11:52
23:36:57;2017.04.26 11:11:52
23:37:02;2017.04.26 11:11:52
23:37:07;2017.04.26 11:11:52
23:37:12;2017.04.26 11:11:52
23:37:17;2017.04.26 11:11:52
23:37:22;2017.04.26 11:11:52
23:37:27;2017.04.26 11:11:52
23:37:32;2017.04.26 11:11:52
23:38:05;2017.04.26 11:11:52
23:38:10;2017.04.26 11:11:52
23:38:15;2017.04.26 11:11:52
23:38:20;2017.04.26 11:11:52
23:38:25;2017.04.26 11:11:52
23:38:30;2017.04.26 11:11:52
23:38:35;2017.04.26 11:11:52
23:38:40;2017.04.26 11:11:52
23:38:45;2017.04.26 11:11:52
23:38:50;2017.04.26 11:11:52
23:38:55;2017.04.26 11:11:52
23:39:00;2017.04.26 11:11:52
23:39:05;2017.04.26 11:11:52
23:39:10;2017.04.26 11:11:52
23:40:57;2017.04.26 11:11:52
23:41:02;2017.04.26 11:11:52
23:41:07;2017.04.26 11:11:52
23:41:12;2017.04.26 11:11:52
23:41:17;2017.04.26 11:11:52
23:41:22;2017.04.26 11:11:52
23:41:27;2017.04.26 11:11:52
23:41:32;2017.04.26 11:11:52
23:41:37;2017.04.26 11:11:52
23:41:42;2017.04.26 11:11:52
23:41:47;2017.04.26 11:11:52
23:41:52;2017.04.26 11:11:52
23:41:57;2017.04.26 11:11:52
23:42:02;2017.04.26 11:11:52
23:42:07;2017.04.26 11:11:52
23:42:12;2017.04.26 11:11:52
23:42:17;2017.04.26 11:11:52
23:42:22;2017.04.26 11:11:52
23:42:27;2017.04.26 11:11:52
23:42:32;2017.04.26 11:11:52
